asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,583 | Behavioral cloning loss (Bob loss) after epoch 17: 1.087171196937561
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,643 | PPO objective after epoch 18: 6.111140251159668
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,643 | Value loss (MSE loss) after epoch 18: 111797.6328125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,643 | Behavioral cloning loss (Bob loss) after epoch 18: 1.0376158952713013
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,719 | PPO objective after epoch 19: 2519.519287109375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,719 | Value loss (MSE loss) after epoch 19: 33791133696.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,720 | Behavioral cloning loss (Bob loss) after epoch 19: 1.071243405342102
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,779 | PPO objective after epoch 20: 132.30397033691406
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,780 | Value loss (MSE loss) after epoch 20: 30036422.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,780 | Behavioral cloning loss (Bob loss) after epoch 20: 1.0530112981796265
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,850 | PPO objective after epoch 21: 23.166406631469727
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,850 | Value loss (MSE loss) after epoch 21: 3407764.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,851 | Behavioral cloning loss (Bob loss) after epoch 21: 1.051959753036499
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,913 | PPO objective after epoch 22: 156.8411102294922
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,913 | Value loss (MSE loss) after epoch 22: 115916680.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,914 | Behavioral cloning loss (Bob loss) after epoch 22: 1.052643060684204
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:31,985 | PPO objective after epoch 23: 28.438674926757812
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:31,985 | Value loss (MSE loss) after epoch 23: 2555347.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:31,985 | Behavioral cloning loss (Bob loss) after epoch 23: 1.0466556549072266
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,043 | PPO objective after epoch 24: 6.323144435882568
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,043 | Value loss (MSE loss) after epoch 24: 118720.25
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,043 | Behavioral cloning loss (Bob loss) after epoch 24: 0.9989109039306641
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,117 | PPO objective after epoch 25: 43.20661163330078
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,117 | Value loss (MSE loss) after epoch 25: 6234344.5
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,118 | Behavioral cloning loss (Bob loss) after epoch 25: 1.0660271644592285
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,176 | PPO objective after epoch 26: 6.835992813110352
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,176 | Value loss (MSE loss) after epoch 26: 144674.375
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,177 | Behavioral cloning loss (Bob loss) after epoch 26: 0.9917340874671936
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,247 | PPO objective after epoch 27: 40.086517333984375
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,247 | Value loss (MSE loss) after epoch 27: 14619280.0
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,247 | Behavioral cloning loss (Bob loss) after epoch 27: 1.0804994106292725
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,306 | PPO objective after epoch 28: 9.49460220336914
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,306 | Value loss (MSE loss) after epoch 28: 455837.8125
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,306 | Behavioral cloning loss (Bob loss) after epoch 28: 0.9929828643798828
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,378 | PPO objective after epoch 29: 21.431528091430664
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,378 | Value loss (MSE loss) after epoch 29: 1033387.625
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,378 | Behavioral cloning loss (Bob loss) after epoch 29: 1.0652508735656738
asymmetric_self_play_training.py | [line:162] | 2021-06-08 16:50:32,443 | PPO objective after epoch 30: 11.522079467773438
asymmetric_self_play_training.py | [line:164] | 2021-06-08 16:50:32,443 | Value loss (MSE loss) after epoch 30: 509523.75
asymmetric_self_play_training.py | [line:175] | 2021-06-08 16:50:32,444 | Behavioral cloning loss (Bob loss) after epoch 30: 1.0421396493911743
